index,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z
150,-18797,-264,-1422,-203,1355,2875,-20468,-598,-1789,-308,1451,3177,-21115,-758,-2133,-411,1502,3470,-21360,-1100,-2417,-501,1509,3674,-20592,-1339,-2322,-564,1425,3768
151,7174,15747,2969,351,1258,-1006,6478,16969,3172,529,1193,-1126,6671,17526,2560,737,1220,-1099,5780,16896,2224,914,1360,-1055,3903,16182,3255,1032,1380,-1119
152,110,14965,-4035,148,2239,-461,-469,14679,-4371,274,2309,-554,-907,14351,-5009,355,2418,-657,-1296,14276,-5734,393,2548,-737,-1631,14320,-6094,401,2670,-782
153,-1711,15058,1398,14,-1327,-56,-1385,15410,1126,-20,-1327,-118,-1130,15648,878,-80,-1356,-144,-1234,15773,677,-152,-1395,-141,-1378,15864,492,-221,-1447,-124
154,-3470,14793,-6820,320,-2233,216,-3189,14475,-6728,192,-2065,204,-2997,14706,-6275,68,-1948,169,-2830,15334,-5863,-43,-1882,118,-2361,16108,-5687,-130,-1877,77
155,1285,12751,5186,-4,-212,285,818,12593,5662,39,-196,307,455,12706,5825,89,-195,311,264,12972,5978,144,-217,292,242,13589,6209,186,-254,256
156,2899,13936,3968,448,4784,1180,2616,14729,3751,539,4549,1136,2972,15123,3473,595,4249,1059,3568,15175,3032,616,3945,952,4249,15214,2662,605,3702,813
157,8327,14163,1097,306,7203,1533,8541,14004,943,374,7225,1594,8231,13501,60,535,7316,1692,7670,13703,-320,620,7394,1747,6956,14196,-650,707,7455,1807
158,-1425,14568,-1390,-314,1507,256,-1552,14628,-1469,-242,1415,318,-1554,14623,-1476,-173,1312,365,-1434,14655,-1524,-109,1195,398,-1251,14741,-1639,-58,1051,399
159,4320,13127,8125,-41,-262,27,3920,12856,8230,-73,-140,126,3363,12661,8285,-99,-43,210,2694,12589,8284,-121,27,274,2074,12528,8165,-129,58,316
160,288,12613,9814,683,693,165,440,12616,9585,748,688,179,458,12684,9341,813,714,206,255,12873,9155,873,755,236,20,12948,9100,919,778,270
161,10787,10043,9869,-499,701,361,10563,10135,9693,-342,770,334,10410,10176,9528,-254,817,331,10305,10308,9289,-165,876,335,10026,10660,9280,-82,947,343
162,-101,15589,2691,327,-467,64,-137,15542,2609,306,-319,135,-112,15615,2560,296,-179,201,-160,15501,2528,291,-31,276,-218,15228,2478,285,119,346
163,3562,15897,2522,-411,1235,539,3922,15695,2545,-438,1083,448,4356,15580,2578,-425,986,370,4725,15421,2587,-377,949,314,4893,15189,2481,-306,944,270
164,-600,15544,1962,173,-1251,-713,-819,15337,2198,177,-1113,-660,-880,15239,2262,192,-962,-599,-924,15180,2165,227,-821,-510,-1179,15265,2131,273,-674,-409
165,-2220,11750,5820,-1040,1783,2188,-2742,11208,5877,-938,1836,2350,-4019,10291,5784,-655,1950,2743,-4245,9938,5570,-482,1994,2986,-3843,9823,5515,-301,2064,3254
166,15463,7795,7309,-3822,1408,2628,18589,7197,8510,-3721,1035,2140,21878,6675,9674,-3576,704,1670,24925,6183,10705,-3382,380,1187,27219,5912,11438,-3113,59,671
167,-5300,14683,3878,384,-252,-331,-5509,14452,3599,403,-208,-261,-5784,14509,3459,428,-147,-177,-6069,14603,3466,438,-100,-78,-6120,14825,3611,421,-107,8
168,3688,14652,5336,-1225,2581,2283,3640,14156,5784,-1217,2353,2108,3685,13779,6270,-1172,2124,1939,3547,13352,6679,-1097,1910,1787,3410,12954,7031,-993,1707,1646
169,11819,12861,3704,-102,-2630,1867,13811,12916,4110,-320,-2461,1814,15157,12557,4353,-497,-2211,1751,16071,12158,4571,-622,-1890,1719,16379,11824,4767,-702,-1515,1732
170,2929,14426,5659,200,-7,-163,3132,14660,5558,243,-12,-171,3181,14848,5422,286,-14,-183,3298,14942,5328,316,-17,-195,3462,15041,5203,338,-25,-210
171,27,15863,1339,-97,7,-73,29,15914,1346,-69,-2,-85,-27,15961,1248,-37,-3,-89,-82,16045,1193,-3,3,-84,-102,16176,1190,18,10,-76
172,1627,15148,4342,-739,1299,1112,1669,15239,4457,-763,1390,1148,1777,15284,4592,-793,1447,1173,1894,15232,4642,-828,1461,1175,2160,15074,4697,-861,1448,1142
173,-2539,16705,-2234,-143,-33,-561,-3061,16782,-2344,-191,-334,-597,-3266,16774,-2364,-249,-649,-624,-3176,16638,-2230,-317,-964,-634,-2940,16560,-1925,-395,-1243,-621
174,6657,14709,1413,-107,-928,970,5864,14686,1460,-245,-682,1114,5911,14502,1805,-377,-527,1193,5760,14625,2211,-485,-422,1231,6123,14589,2966,-543,-435,1212
175,4102,16561,617,202,217,445,4063,16396,436,212,439,596,4188,16415,359,208,648,741,4221,16466,373,182,827,874,4511,16326,460,144,958,969
176,4283,14205,-1505,-691,-4480,69,4644,13883,-1314,-717,-4355,143,4930,13642,-1354,-709,-4228,202,5194,13457,-1379,-666,-4116,237,5290,13314,-1505,-595,-4026,244
177,5290,16155,487,783,3710,40,5099,16200,437,769,3808,35,4936,15990,294,752,3909,52,4701,15884,72,725,4020,85,4298,15844,21,673,4227,201
178,6136,15202,1910,-298,823,-248,5828,15352,1922,-303,816,-272,5245,15324,1825,-285,766,-319,4541,15246,1777,-248,685,-395,4085,15140,1619,-209,571,-484
179,5901,13709,6422,847,522,200,5044,14047,6146,826,553,255,4079,14152,5931,780,568,312,2587,14135,5759,624,537,399,1497,14122,5801,512,454,430
180,7900,15725,-1108,1460,1608,-248,7652,15799,-1163,1384,1523,-265,6419,15732,-1544,1312,1325,-269,5382,15739,-2146,1321,1136,-273,4342,16396,-2740,1377,844,-286
181,228,10916,10935,1352,-475,155,586,11335,10558,1375,-503,155,879,11583,10230,1404,-511,162,1071,11742,9830,1424,-507,186,1159,11915,9482,1440,-489,224
182,-4488,12487,3670,-461,-1949,-681,-3593,13143,3915,-282,-1905,-650,-2927,13434,3945,-140,-1869,-677,-1998,13496,3817,-21,-1835,-744,-1304,13744,3769,73,-1775,-848
183,5008,11975,7672,629,2640,1419,5155,12100,7671,815,2867,1622,5320,12357,7733,989,3127,1836,5209,12602,7783,1136,3415,2027,4853,12965,7716,1242,3693,2161
184,2589,17582,-5034,1404,-2059,-510,2558,18016,-5013,1317,-1891,-365,2841,18248,-5015,1179,-1763,-264,3665,18237,-4960,1020,-1667,-197,4294,17971,-4914,864,-1571,-139
185,5171,14826,-13489,2014,-227,1144,4374,14184,-12876,1786,184,1176,3576,13496,-12166,1562,559,1262,2526,12610,-11638,1355,921,1404,2152,12598,-10947,1183,1229,1609
186,1808,16368,-6263,-1144,1331,763,1182,16022,-6092,-1272,1462,903,454,15836,-5693,-1373,1509,1019,-65,15678,-5275,-1454,1478,1089,-279,15530,-5014,-1512,1385,1120
187,-1496,-14485,-1216,1795,-5770,-91,-1328,-14698,-1415,1824,-6069,-121,-1087,-15018,-1635,1855,-6347,-159,-887,-15384,-1802,1890,-6613,-193,-694,-15630,-2088,1943,-6865,-223
188,-2238,-17847,-2475,1544,-6562,-410,-2118,-17771,-2608,1678,-7092,-448,-1915,-17798,-2735,1794,-7610,-488,-1674,-17903,-2905,1894,-8111,-532,-1452,-17947,-3037,1980,-8595,-576
189,653,-17644,-1286,699,-2220,343,366,-17757,-1291,725,-2419,311,152,-17878,-1378,753,-2652,265,-97,-18021,-1487,788,-2923,217,-303,-18157,-1590,833,-3226,163
190,4691,-17106,-739,-851,1222,926,4803,-17218,-729,-963,1186,874,4898,-17206,-726,-1079,1161,818,4962,-17222,-706,-1185,1154,753,5023,-17183,-613,-1296,1161,683
191,1868,-17242,535,-1113,2012,-380,2549,-16634,825,-974,2006,-507,2354,-17023,708,-907,2022,-530,2187,-17331,406,-851,2006,-535,2277,-17153,334,-760,1989,-554
192,3366,-15674,-78,1417,-1339,-466,2955,-15598,20,1525,-1349,-496,3306,-15453,-176,1599,-1375,-569,3495,-15832,-589,1696,-1430,-535,3333,-15166,-515,1862,-1466,-483
193,6021,-16371,-4411,1887,-10711,270,6183,-16137,-4176,1887,-10462,269,6334,-16007,-4032,1880,-10180,254,6441,-15954,-3757,1875,-9863,223,6541,-15817,-3495,1844,-9524,184
194,4091,-16341,-720,100,-218,349,4034,-16300,-722,95,-216,310,3997,-16161,-740,85,-226,270,4009,-16140,-707,73,-233,231,4088,-16310,-663,51,-243,198
195,6437,-16751,-4150,-682,-996,781,6429,-16636,-4425,-619,-1040,860,6270,-16485,-4638,-553,-1070,941,6074,-16283,-4834,-474,-1094,1027,5754,-16090,-4943,-381,-1117,1116
196,2408,-15503,3313,198,-4041,322,2315,-15241,3135,114,-3859,376,2371,-14916,2844,17,-3637,444,2672,-14789,2340,-91,-3345,509,2800,-14940,1940,-189,-2993,571
197,3695,-16715,1747,150,-1735,-969,3714,-16968,1881,138,-1549,-898,3663,-17408,1794,126,-1399,-834,3680,-17621,1746,121,-1294,-747,3585,-17689,1650,132,-1202,-651
198,-1898,-17138,3422,257,2066,364,-2563,-16970,4195,287,2027,396,-3205,-16819,4835,298,1971,403,-3533,-16577,5279,286,1893,380,-3813,-16180,5458,249,1791,317
199,1688,-15282,4455,-469,6056,-500,1703,-15743,5753,-408,5039,-579,2324,-15940,6300,-374,4566,-611,3078,-15775,6527,-368,4199,-622,3671,-15359,6502,-407,3959,-613
200,-203,620,-16610,-5,-6,-1,-230,598,-16562,-6,-8,-5,-185,585,-16569,-5,-9,-5,-197,571,-16627,0,-9,-6,-167,597,-16580,-2,-6,-6
201,-198,587,-16595,-5,-9,-5,-203,602,-16622,-1,-9,-3,-197,584,-16618,-3,-8,-3,-210,590,-16577,-2,-8,-3,-218,579,-16617,0,-8,-4
202,-205,594,-16598,-4,-9,-5,-198,571,-16610,-2,-9,-3,-208,558,-16600,-3,-10,-4,-200,567,-16565,-4,-9,-4,-211,601,-16630,-2,-5,-4
203,-180,593,-16576,-2,-8,-4,-195,582,-16622,1,-12,-4,-189,604,-16601,0,-9,-4,-164,589,-16613,-1,-9,-4,-200,595,-16626,0,-9,-4
204,-171,575,-16579,1,-9,-3,-153,566,-16612,-1,-9,-6,-177,575,-16606,-1,-6,-5,-176,593,-16597,-3,-7,-7,-181,575,-16610,-3,-9,-6
205,-225,582,-16589,1,-7,-7,-170,561,-16655,-1,-7,-2,-111,596,-16665,-1,-7,-5,-208,584,-16600,-1,-10,-5,-178,569,-16622,0,-7,-6
206,-163,582,-16629,1,-9,-5,-228,569,-16603,0,-8,-6,-210,581,-16615,0,-6,-5,-188,592,-16639,-4,-9,-4,-196,600,-16640,0,-8,-1
207,-217,582,-16597,-1,-10,-3,-215,624,-16578,0,-9,-4,-185,617,-16612,2,-8,-4,-162,604,-16660,1,-9,-5,-166,591,-16673,3,-6,-6
208,-162,579,-16649,0,-9,-4,-179,587,-16635,-2,-9,-3,-138,590,-16595,-1,-8,-1,-166,598,-16628,0,-8,-3,-179,608,-16614,-1,-7,-3
209,-165,570,-16606,-1,-6,-2,-163,624,-16590,-1,-4,-1,-144,638,-16597,-1,-3,-3,-135,601,-16622,1,-9,-5,-148,585,-16582,0,-9,-6
210,-207,609,-16607,0,-8,-4,-180,596,-16605,1,-8,-6,-183,591,-16594,-1,-6,-6,-191,600,-16611,-1,-6,-4,-201,579,-16569,1,-7,-4
211,-144,591,-16663,-6,-5,-2,-145,620,-16586,-3,-4,-2,-152,604,-16586,-3,-6,-2,-98,633,-16598,-4,-7,-1,-143,652,-16635,0,-6,-7
212,-184,616,-16653,-1,-9,-7,-173,573,-16630,0,-8,-7,-175,567,-16609,-3,-9,-3,-185,584,-16600,-2,-9,-6,-183,557,-16647,-1,-7,-2
213,-158,577,-16632,-1,-9,-4,-183,586,-16618,-2,-10,-4,-159,586,-16635,-4,-7,-5,-181,595,-16611,-2,-7,-6,-209,589,-16609,-1,-7,-5
214,-218,557,-16588,0,-10,-4,-168,578,-16605,-1,-10,-9,-215,607,-16632,0,-8,-7,-187,602,-16612,-2,-7,-5,-187,570,-16635,3,-9,-7
215,-146,588,-16585,1,-5,-3,-143,561,-16576,0,-6,-3,-131,572,-16579,1,-9,-1,-165,582,-16645,-2,-9,-3,-201,553,-16651,1,-10,-2
216,-163,572,-16630,-2,-7,-4,-173,565,-16628,-2,-9,-2,-151,590,-16640,-1,-9,-3,-169,588,-16616,1,-8,-3,-166,558,-16583,0,-11,-4
217,-116,532,-16768,-4,-15,4,-87,538,-16746,-3,-15,-8,-106,450,-16566,7,-6,-12,-183,468,-16605,0,0,-9,-209,483,-16642,-3,-11,1
218,-129,572,-16625,-1,-6,-6,-122,543,-16604,2,-8,-5,-174,541,-16627,-1,-8,-3,-173,566,-16642,0,-9,-2,-138,577,-16639,-2,-7,-3
219,-128,593,-16637,-3,-8,-3,-144,579,-16628,-1,-8,-3,-166,584,-16643,1,-8,-1,-141,605,-16584,-2,-8,-6,-126,598,-16600,-1,-12,-3
220,-179,615,-16615,0,-9,-2,-191,598,-16577,0,-8,-4,-165,578,-16577,1,-8,-2,-211,558,-16593,-1,-7,-5,-205,572,-16607,-1,-7,-4
221,-180,441,-16468,5,0,-9,-220,486,-16603,1,-2,-3,-262,518,-16692,-3,-10,-3,-291,556,-16793,-2,-15,-4,-237,530,-16781,-3,-13,-6
222,-200,565,-16582,-1,-7,-4,-144,604,-16610,-1,-7,-2,-169,597,-16622,-1,-7,-3,-183,601,-16577,-2,-8,-5,-170,611,-16607,-1,-9,-5
223,-120,557,-16594,1,-7,-3,-151,590,-16611,-1,-8,-3,-170,601,-16637,0,-8,-8,-182,558,-16611,2,-9,-5,-193,561,-16606,3,-8,-2
224,-172,593,-16612,1,-11,-2,-149,608,-16626,0,-10,-2,-161,612,-16609,-4,-8,-4,-178,622,-16588,0,-8,-6,-210,633,-16574,2,-10,-6
225,-142,595,-16667,2,-11,-4,-198,588,-16640,1,-10,-3,-142,549,-16603,2,-6,-5,-128,536,-16627,0,-6,-4,-185,584,-16637,-1,-7,-1
226,-150,588,-16619,1,-8,-6,-172,531,-16631,4,-7,-4,-194,546,-16615,0,-9,-6,-192,569,-16616,-2,-13,-6,-177,570,-16672,-1,-10,-4
227,-118,580,-16619,-1,-8,-5,-155,599,-16616,2,-11,-3,-192,595,-16629,-1,-12,-1,-167,577,-16588,-1,-11,-5,-201,580,-16610,-1,-7,-4
228,-163,562,-16609,0,-8,-5,-141,545,-16630,-4,-5,-3,-151,582,-16643,-1,-8,-5,-143,610,-16625,-1,-9,-5,-157,577,-16628,-3,-11,-2
229,-469,-770,-16730,-26,-56,109,-302,-904,-16165,-4,-97,75,-537,-839,-16428,-1,-83,77,-536,-943,-16550,18,-68,70,-530,-993,-16523,33,-49,59
230,-487,-870,-16600,51,-10,38,-508,-774,-16654,50,-8,46,-597,-976,-16632,46,-8,53,-564,-823,-16731,46,-17,62,-469,-788,-16661,47,-22,65
231,-752,-1112,-16598,3,-9,-1,-756,-1118,-16579,1,-7,-1,-886,-1111,-16497,0,-8,-1,-873,-1059,-16348,-10,-15,-13,-663,-1021,-16463,-34,2,-36
232,-670,-1370,-16637,-44,65,-63,-515,-1722,-16712,-50,58,-73,-594,-1632,-16772,-45,38,-70,-641,-1652,-16652,-45,17,-64,-719,-1634,-16576,-44,3,-57
233,-463,-634,-16606,-83,-19,62,-526,-635,-16676,-78,-15,53,-461,-524,-16660,-74,-5,39,-340,-390,-16676,-78,7,26,-272,-329,-16542,-77,24,-1
234,-648,-657,-16649,-2,-7,-3,-625,-644,-16613,-2,-5,-2,-585,-612,-16586,-2,-2,-3,-560,-600,-16580,-4,-3,-3,-585,-603,-16589,-2,-4,-5
235,-47,-1057,-17019,-5,210,77,-121,-1026,-16997,21,191,104,872,-244,-17107,40,126,105,166,-460,-17549,45,97,101,418,-818,-17610,71,1,77
236,-607,-877,-16628,2,2,-8,-608,-906,-16638,4,3,-10,-626,-908,-16635,3,-2,-8,-610,-923,-16620,7,-7,-6,-587,-896,-16641,10,-19,-3
237,-672,-871,-16594,-3,-10,-2,-693,-864,-16562,-1,-6,-2,-659,-875,-16561,-1,-6,-6,-684,-861,-16584,-3,-6,-5,-673,-849,-16626,-2,-4,-5
238,-631,-883,-16596,0,-8,-3,-579,-849,-16626,-1,-8,-3,-618,-873,-16595,3,-7,-3,-627,-883,-16603,1,-8,-3,-623,-918,-16670,-3,-9,-3
239,-671,-913,-16597,3,-9,-2,-668,-906,-16568,1,-11,-3,-672,-878,-16611,-3,-9,-3,-649,-910,-16620,-2,-8,-4,-646,-910,-16602,-2,-8,-5
240,-598,-943,-16642,-1,-7,-7,-642,-923,-16614,-1,-13,-3,-651,-914,-16599,1,-12,-3,-672,-884,-16612,-2,-13,-4,-646,-873,-16585,-2,-8,-4
241,-668,-862,-16577,1,-8,-4,-675,-877,-16602,-1,-6,-6,-660,-905,-16606,0,-6,-4,-636,-969,-16615,-1,-5,-4,-681,-967,-16611,-1,-6,-4
242,-700,-906,-16651,2,-8,-2,-674,-932,-16627,2,-7,-1,-671,-918,-16598,-1,-5,-2,-622,-916,-16579,-3,-4,-6,-655,-908,-16614,-4,-5,-7
243,-640,-924,-16576,0,-8,-2,-615,-887,-16585,-3,-9,-6,-652,-896,-16585,-2,-7,-9,-642,-863,-16609,-2,-4,-5,-662,-911,-16610,0,-4,-3
244,-671,-870,-16627,3,-14,-5,-643,-871,-16635,2,-12,-4,-635,-902,-16615,2,-10,-2,-612,-882,-16584,0,-6,-1,-692,-914,-16638,-1,-5,-7
245,-684,-909,-16611,1,-9,-2,-644,-921,-16593,1,-9,-3,-663,-894,-16572,-1,-7,-6,-669,-904,-16600,-2,-3,-7,-628,-900,-16609,-1,-7,-4
246,-660,-887,-16628,-3,-7,-4,-653,-925,-16579,-2,-7,-5,-657,-914,-16594,-2,-7,-4,-636,-898,-16619,-1,-8,-3,-665,-911,-16600,0,-9,-7
247,-643,-906,-16600,-2,-8,-5,-642,-900,-16614,0,-6,-4,-680,-917,-16558,0,-5,-5,-638,-899,-16620,-2,-6,-6,-674,-878,-16636,0,-8,-3
248,-649,-931,-16658,1,-10,-3,-593,-933,-16627,-2,-13,-3,-633,-941,-16618,0,-14,-4,-644,-916,-16639,2,-14,-5,-613,-962,-16625,1,-13,-4
249,-423,-996,-16532,2,19,7,-333,-989,-16568,-30,1,6,-516,-1057,-16695,-60,-10,2,-448,-944,-16693,-128,2,-13,-513,-1006,-16619,-166,19,-26
250,211,-273,-16717,29,-37,-23,212,-274,-16651,24,-26,-20,67,-189,-16648,28,-16,-19,131,-111,-16530,39,-9,-22,57,-115,-16342,45,-4,-32
251,255,-1140,-16980,277,-49,-240,27,-970,-16653,227,-11,-192,221,-1219,-16619,168,-4,-144,446,-1261,-16810,130,-14,-122,432,-1262,-16650,107,-17,-115
252,1505,484,-16629,24,-58,912,1011,426,-16784,16,-34,859,873,120,-16758,11,-29,801,903,102,-16715,5,-26,763,659,324,-16805,-6,-17,740
253,280,-138,-16598,27,-24,16,285,-176,-16589,24,-18,15,351,-189,-16640,20,-17,13,352,-252,-16670,17,-20,11,340,-283,-16655,12,-26,12
254,265,-901,-16580,-124,-13,25,312,-926,-16633,-140,-7,22,311,-923,-16692,-153,-12,16,315,-931,-16670,-162,-21,16,252,-967,-16644,-174,-30,25
255,547,-168,-16665,-3,-8,-4,554,-154,-16631,-3,-9,-5,551,-139,-16643,-1,-7,-6,550,-127,-16632,-2,-9,-5,550,-114,-16667,-2,-10,-5
256,533,-232,-16649,-1,-8,-5,520,-209,-16661,-1,-9,-3,448,-142,-16599,-1,-9,-2,490,-128,-16627,0,-12,-1,484,-105,-16694,2,-10,-1
257,398,-148,-16665,6,-7,3,431,-172,-16645,5,-2,1,479,-153,-16643,3,0,-3,526,-210,-16637,1,0,-6,588,-228,-16608,0,-1,-5
258,497,-233,-16604,1,-6,-2,497,-175,-16591,-1,-9,-2,488,-200,-16601,-2,-8,-5,503,-204,-16623,0,-6,-4,509,-236,-16623,-1,-7,-3
259,458,-233,-16658,2,-8,-1,427,-251,-16648,4,-11,-2,482,-218,-16608,4,-10,-1,506,-213,-16608,3,-7,0,467,-227,-16638,0,-5,-5
260,491,-220,-16672,-4,-8,-8,482,-174,-16635,-2,-8,-7,479,-175,-16609,-1,-8,-6,458,-216,-16649,-2,-10,-4,479,-212,-16625,-1,-7,-3
261,493,-215,-16667,-4,-7,-6,495,-194,-16629,-5,-7,-7,519,-224,-16643,-3,-9,-8,510,-229,-16635,-4,-8,-7,493,-191,-16658,-4,-8,-7
262,430,-201,-16618,-1,-9,-1,464,-242,-16636,-2,-7,-3,497,-234,-16638,-2,-6,-4,495,-187,-16611,-1,-8,-4,495,-203,-16663,1,-9,-5
263,493,-217,-16646,0,-6,-5,518,-195,-16599,-1,-8,-5,475,-208,-16642,0,-10,-2,467,-206,-16629,-1,-8,-2,509,-187,-16629,1,-10,-4
264,484,-226,-16638,0,-10,-5,489,-196,-16630,0,-8,-4,494,-214,-16642,0,-6,-6,482,-215,-16625,0,-8,-3,488,-216,-16629,-1,-6,-4
265,461,-243,-16654,0,-8,-3,456,-264,-16675,0,-8,-2,489,-194,-16650,1,-10,0,515,-203,-16640,-1,-8,-4,479,-185,-16659,-3,-9,-6
266,483,-221,-16666,0,-9,-5,467,-196,-16593,1,-9,-5,475,-190,-16646,-1,-8,-5,492,-200,-16651,1,-9,-3,467,-191,-16641,2,-10,-2
267,499,-206,-16622,-3,-4,-6,504,-230,-16652,-4,-9,-3,537,-197,-16651,-1,-10,-4,528,-202,-16622,1,-7,-4,472,-242,-16644,-4,-6,-4
268,453,-218,-16660,3,-8,-2,485,-214,-16677,1,-8,0,484,-239,-16659,-1,-8,-2,513,-173,-16631,-2,-6,-5,480,-199,-16605,0,-6,-3
269,557,-208,-16642,0,-11,-2,477,-210,-16639,1,-8,-3,505,-207,-16639,-3,-6,-4,501,-160,-16607,-2,-9,-4,486,-166,-16634,-2,-7,-4
270,519,-234,-16611,0,-11,-5,491,-209,-16624,-1,-7,-7,516,-185,-16648,0,-9,-4,522,-202,-16609,-1,-12,-3,499,-206,-16653,-3,-9,-3
271,482,-205,-16614,2,-9,-4,497,-216,-16648,0,-8,-5,513,-207,-16642,-1,-7,-6,511,-215,-16649,-2,-7,-3,511,-198,-16674,-1,-10,-2
272,513,-201,-16620,-1,-7,-5,491,-222,-16612,-1,-10,-4,527,-196,-16626,-1,-7,-4,518,-215,-16620,-1,-10,-4,509,-238,-16646,1,-8,-6
273,490,-213,-16649,0,-8,-4,464,-203,-16602,-1,-8,-3,526,-210,-16649,-1,-8,-5,527,-220,-16666,-1,-8,-6,461,-195,-16614,-2,-9,-5
274,504,-237,-16641,-1,-6,-5,474,-214,-16640,-2,-6,-5,476,-216,-16648,0,-7,-5,479,-233,-16668,1,-9,-3,461,-197,-16679,0,-10,-4
275,500,-191,-16651,-3,-8,-4,489,-186,-16631,-1,-7,-4,488,-194,-16604,1,-8,-4,483,-209,-16636,-1,-11,-4,482,-210,-16643,-5,-9,-3
276,493,-193,-16619,0,-9,-8,465,-206,-16653,-2,-6,-5,479,-202,-16605,1,-9,-3,487,-168,-16616,0,-8,-5,499,-223,-16615,-1,-10,-4
277,480,-237,-16681,-1,-8,-5,484,-211,-16613,0,-6,-3,483,-166,-16586,-2,-5,-3,507,-196,-16650,-1,-8,-3,501,-224,-16638,2,-11,-6
278,499,-197,-16649,1,-8,-4,488,-244,-16647,-2,-6,-5,498,-196,-16624,0,-7,-6,475,-240,-16643,0,-6,-6,484,-193,-16648,-3,-7,-4
279,470,-161,-16625,-3,-8,-3,453,-199,-16616,-1,-8,-3,491,-205,-16633,-1,-10,-3,536,-203,-16636,-2,-7,-5,446,-217,-16611,1,-9,-4
280,456,-219,-16621,-1,-8,-4,502,-204,-16639,1,-9,-5,522,-184,-16629,-2,-7,-7,472,-195,-16678,0,-8,-5,467,-195,-16655,0,-7,-5
281,494,-216,-16660,1,-6,-4,478,-208,-16652,-1,-8,-4,498,-240,-16613,2,-8,-3,483,-220,-16619,1,-7,-4,475,-197,-16635,0,-8,-3
282,479,-209,-16633,-1,-7,-6,507,-229,-16650,0,-7,-4,514,-217,-16637,0,-7,-4,491,-208,-16652,-3,-7,-5,490,-217,-16677,0,-7,-5
283,490,-209,-16620,-1,-8,-4,458,-203,-16659,-2,-8,-5,520,-197,-16645,-1,-8,-6,511,-203,-16646,0,-9,-5,473,-237,-16648,-1,-9,-4
284,496,-243,-16642,-1,-9,-3,498,-196,-16624,-1,-7,-5,494,-190,-16617,2,-7,-4,508,-200,-16636,1,-7,-4,469,-220,-16616,-3,-8,-8
285,467,-194,-16656,0,-9,-6,492,-178,-16640,0,-8,-5,465,-223,-16640,-3,-7,-5,468,-214,-16645,-2,-9,-4,509,-229,-16653,-1,-6,-4
286,543,-205,-16621,1,-9,-3,539,-177,-16656,2,-13,-1,468,-202,-16650,3,-18,2,419,-202,-16602,3,-20,2,437,-232,-16668,2,-14,0
287,493,-181,-16634,-2,-3,-7,478,-174,-16643,-2,-3,-5,512,-209,-16643,0,-6,-3,531,-221,-16651,-2,-9,-2,493,-193,-16624,-1,-10,-2
288,489,-223,-16628,1,-8,-4,501,-221,-16635,0,-9,-5,505,-193,-16616,1,-11,-5,477,-203,-16648,0,-8,-1,460,-191,-16615,0,-9,-4
289,437,-192,-16638,9,-8,6,452,-214,-16678,9,-5,4,465,-220,-16688,6,-6,2,500,-227,-16659,3,-4,1,477,-222,-16650,3,-5,0
290,444,-226,-16546,-2,-6,-4,534,-326,-16650,-1,-11,-4,558,-338,-16749,2,-11,-5,610,-200,-16521,1,0,-8,583,-161,-16554,-2,1,-7
291,474,-221,-16673,1,-9,-3,491,-224,-16613,0,-10,-5,488,-216,-16582,0,-9,-2,507,-198,-16624,0,-6,-2,500,-232,-16673,-2,-8,-4
292,524,-250,-16639,-3,-6,-7,531,-251,-16635,-1,-6,-5,517,-211,-16666,-2,-5,-5,513,-247,-16609,-2,-5,-6,510,-250,-16646,-4,-7,-5
293,696,-906,-16760,19,-1,8,244,-268,-17279,-16,-33,4,447,-754,-16643,7,-31,14,668,116,-16592,-7,-15,-8,497,-765,-16848,-33,7,-16
294,442,-181,-16599,3,-8,-1,445,-170,-16640,5,-7,-2,500,-249,-16636,4,-4,0,506,-232,-16597,6,-6,2,489,-267,-16583,6,-6,3
295,468,-186,-16631,-3,-8,-7,526,-183,-16652,-3,-7,-10,516,-164,-16672,-2,-6,-9,516,-135,-16630,-5,-5,-6,510,-138,-16618,-5,-7,-7
296,153,1377,-16903,-120,56,-222,135,1530,-16585,-121,33,-174,239,1674,-16430,-105,5,-127,517,1790,-16428,-100,-18,-84,616,1968,-16480,-101,-28,-60
297,1878,509,-18101,419,-88,-1086,-645,282,-17561,349,153,-952,-1223,-615,-16298,283,168,-813,-890,-1130,-15695,231,62,-708,-628,-1609,-15811,172,-63,-643
298,-115,216,-16794,-38,-13,-11,205,338,-16430,-39,-27,-8,129,458,-16435,-52,2,0,148,286,-16659,-61,-4,-15,11,256,-16653,-59,-12,-16
299,34,993,-16590,51,-26,9,16,993,-16529,45,-26,9,-31,1001,-16565,37,-19,2,-32,999,-16575,32,-17,-1,-33,992,-16584,25,-18,-3
300,43,872,-16615,3,-6,-5,17,879,-16624,4,-7,-5,17,870,-16574,7,-7,-7,15,863,-16610,11,-10,-5,58,880,-16608,11,-9,-7
